sample,count,class,species,genus,method,is_full_species,prop_count,aligned_species
CROP_0701,83,Aves,Accipiter_gentilis,Accipiter,eDNA,FALSE,0.001672982,Accipiter_gentilis
CROP_0906,1,Aves,Accipiter_gentilis,Accipiter,camera,TRUE,0.009090909,Accipiter_gentilis
CROP_1010,2,Aves,Accipiter_nisus,Accipiter,camera,TRUE,0.039215686,Accipiter_nisus
CROP_0210,115,Aves,Aegithalos_caudatus,Aegithalos,eDNA,FALSE,0.00292472,Aegithalos_caudatus
CROP_0809,1,Aves,Aegithalos_caudatus,Aegithalos,camera,TRUE,0.04,Aegithalos_caudatus
CROP_1006,157,Aves,Aix_galericulata,Aix,eDNA,FALSE,0.001628496,Aix_galericulata
CROP_0401,1,Aves,Aix_galericulata,Aix,camera,TRUE,0.04,Aix_galericulata
CROP_0506,1,Aves,Aix_galericulata,Aix,camera,TRUE,0.015873016,Aix_galericulata
CROP_0508,3,Aves,Aix_galericulata,Aix,camera,TRUE,0.2,Aix_galericulata
CROP_0509,5,Aves,Aix_galericulata,Aix,camera,TRUE,0.131578947,Aix_galericulata
CROP_0510,3,Aves,Aix_galericulata,Aix,camera,TRUE,0.1875,Aix_galericulata
CROP_0803,1,Aves,Aix_galericulata,Aix,camera,TRUE,0.029411765,Aix_galericulata
CROP_0808,2,Aves,Aix_galericulata,Aix,camera,TRUE,0.111111111,Aix_galericulata
CROP_0809,4,Aves,Aix_galericulata,Aix,camera,TRUE,0.16,Aix_galericulata
CROP_0810,2,Aves,Aix_galericulata,Aix,camera,TRUE,0.105263158,Aix_galericulata
CROP_1003,1,Aves,Aix_galericulata,Aix,camera,TRUE,0.166666667,Aix_galericulata
CROP_0103,66,Aves,Alcedo_atthis,Alcedo,eDNA,FALSE,0.005563986,Alcedo_atthis
CROP_0909,2598,Aves,Alcedo_atthis,Alcedo,eDNA,FALSE,0.041020621,Alcedo_atthis
CROP_0204,2,Aves,Alcedo_atthis,Alcedo,camera,TRUE,0.03030303,Alcedo_atthis
CROP_0207,1,Aves,Alcedo_atthis,Alcedo,camera,TRUE,0.008264463,Alcedo_atthis
CROP_1007,1,Aves,Alcedo_atthis,Alcedo,camera,TRUE,0.011111111,Alcedo_atthis
CROP_1010,1,Aves,Alcedo_atthis,Alcedo,camera,TRUE,0.019607843,Alcedo_atthis
CROP_1101,1,Aves,Alcedo_atthis,Alcedo,camera,TRUE,0.058823529,Alcedo_atthis
CROP_1107,2,Aves,Alcedo_atthis,Alcedo,camera,TRUE,0.024691358,Alcedo_atthis
CROP_1108,1,Aves,Alcedo_atthis,Alcedo,camera,TRUE,0.5,Alcedo_atthis
CROP_1301,1,Aves,Alcedo_atthis,Alcedo,camera,TRUE,0.03125,Alcedo_atthis
CROP_1307,1,Aves,Alcedo_atthis,Alcedo,camera,TRUE,0.02173913,Alcedo_atthis
CROP_0211,185,Aves,Alectoris,Alectoris,eDNA,FALSE,0.003807838,Alectoris_rufa
