"","CROP_0101","CROP_0102","CROP_0103","CROP_0104","CROP_0105","CROP_0106","CROP_0107","CROP_0108","CROP_0109","CROP_0110","CROP_0201","CROP_0202","CROP_0203","CROP_0204","CROP_0205","CROP_0206","CROP_0207","CROP_0208","CROP_0209","CROP_0210","CROP_0211","CROP_0212","CROP_0213","CROP_0214","CROP_0301","CROP_0302","CROP_0303","CROP_0304","CROP_0305","CROP_0306","CROP_0307","CROP_0308","CROP_0309","CROP_0310","CROP_0401","CROP_0402","CROP_0403","CROP_0404","CROP_0405","CROP_0406","CROP_0407","CROP_0408","CROP_0409","CROP_0410","CROP_0501","CROP_0502","CROP_0503","CROP_0504","CROP_0505","CROP_0506","CROP_0507","CROP_0508","CROP_0509","CROP_0510","CROP_0511","CROP_0512","CROP_0514","CROP_0601","CROP_0602","CROP_0603","CROP_0604","CROP_0605","CROP_0606","CROP_0607","CROP_0608","CROP_0609","CROP_0610","CROP_0701","CROP_0702","CROP_0703","CROP_0704","CROP_0705","CROP_0706","CROP_0707","CROP_0708","CROP_0709","CROP_0710","CROP_0801","CROP_0802","CROP_0803","CROP_0804","CROP_0805","CROP_0806","CROP_0807","CROP_0808","CROP_0809","CROP_0810","CROP_0811","CROP_0812","CROP_0813","CROP_0814","CROP_0901","CROP_0902","CROP_0903","CROP_0904","CROP_0905","CROP_0906","CROP_0907","CROP_0908","CROP_0909","CROP_0910","CROP_1001","CROP_1002","CROP_1003","CROP_1004","CROP_1005","CROP_1006","CROP_1007","CROP_1008","CROP_1009","CROP_1010","CROP_1101","CROP_1102","CROP_1103","CROP_1104","CROP_1105","CROP_1106","CROP_1107","CROP_1108","CROP_1109","CROP_1110","CROP_1111","CROP_1112","CROP_1113","CROP_1114","CROP_1201","CROP_1202","CROP_1203","CROP_1204","CROP_1205","CROP_1206","CROP_1207","CROP_1208","CROP_1209","CROP_1210","CROP_1301","CROP_1302","CROP_1303","CROP_1304","CROP_1305","CROP_1306","CROP_1307","CROP_1308","CROP_1309","CROP_1310","NEG09","NEG11","POS09","POS11","taxonomy"
"Anguilla_anguilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Astatotilapia_calliptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450570,NA
"Cobitis_taenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1476,NA
"Cyprinus_carpio",0,0,0,77,0,0,0,0,0,0,0,0,162,50,0,0,0,0,0,0,0,0,0,0,625,5323,0,828,273,431,494,683,415,482,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491,874,0,0,0,255,0,0,692,0,557,0,636,122,280,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,208,0,260,0,0,0,310,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Pimephales_promelas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1556,NA
"Tinca_tinca",410,76,229,0,203,541,239,304,551,375,1551,506,3332,519,1944,2738,1385,644,2390,2373,1243,2336,996,938,1696,1918,1795,4043,2229,1208,1068,1292,874,743,965,416,351,550,555,773,887,461,927,215,0,175,227,0,324,122,196,822,207,684,628,215,0,0,0,365,441,624,0,0,489,271,857,273,1187,171,475,2054,0,165,575,300,241,167,146,1711,0,573,816,1278,454,463,653,523,642,0,0,2793,1218,6693,3375,3715,2896,3370,2773,2594,2865,1148,958,4742,2635,4563,3596,3641,4130,2211,2850,1052,313,8801,2358,2184,1170,5431,6223,3265,3431,2861,1564,2541,758,1067,1205,7612,1314,2367,4888,1197,1356,3375,1479,0,0,2290,0,1430,521,1684,179,3537,321,0,0,0,0,NA
"Cottus_gobio",0,0,0,270,469,737,248,475,576,764,442,270,0,248,656,788,422,358,2016,601,1311,3389,2690,1890,15068,15121,0,16600,13271,9725,6600,8052,13475,17456,10922,16766,362,8592,15210,10425,15505,7747,14718,2273,7389,3736,639,9426,7317,6228,12360,19102,11991,9031,7719,12329,11913,4759,8821,776,5820,6384,7664,8734,8130,4385,5866,9020,8637,427,3644,6886,1071,3105,1924,2780,6189,5106,10525,773,3800,10446,16114,11584,1741,3823,7111,6181,25865,41705,9639,4416,15432,533,2166,4927,8131,4009,5599,724,1959,2097,6017,441,824,1330,3543,3503,2277,1870,1808,1474,2474,0,1328,944,2815,4146,2440,1663,1937,2375,2468,5239,7203,652,981,0,326,3704,1290,510,227,1333,650,2389,11151,0,5515,20077,11214,4962,2611,3057,2771,0,0,0,0,NA
"Gasterosteus_aculeatus",311,69,4483,2215,3227,2375,4121,4833,6213,5723,3900,1178,19233,2695,3742,7575,9780,2646,13280,5860,12596,11977,4957,3132,8260,2214,30514,11936,14710,6810,17310,8628,9909,13797,6543,1594,24308,5195,21462,18140,12728,8738,14134,15182,1294,1642,7359,1678,5302,5063,7506,8322,5970,8122,5398,3805,133,4347,1228,15787,1515,3762,4549,4356,4118,3445,3902,3803,203,23943,4871,26732,15019,8921,5733,10698,9146,8533,0,34781,11366,27422,16007,11451,4313,42292,17836,27912,2493,373,0,55966,1616,59398,58273,56501,42778,69623,42565,43098,36213,27870,2215,29691,44589,36435,32456,35247,32286,29381,32365,33494,1712,49282,22484,22293,37719,44225,37431,28655,31035,31572,19327,18460,8785,2628,364,25927,7708,20096,25488,14432,7356,13373,10419,11271,94,88852,19111,32294,6350,43759,14761,42821,25864,0,0,0,0,NA
"Oncorhynchus_mykiss",0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Salmo_trutta",596,337,697,993,960,926,2805,889,1332,1628,1682,1018,496,285,3229,3191,2030,1206,3236,1597,3766,2442,2733,1774,7939,10738,1300,7184,4308,3102,4206,3786,4164,4205,11101,6880,0,9880,5512,3691,6867,4363,7945,1987,10071,9338,1765,8205,7159,5510,6667,9081,8311,7080,3441,4608,3051,8045,15565,1632,13809,8084,7095,8734,9117,4372,5852,9650,10964,1168,8574,17127,5687,3908,6372,7428,5191,17759,11706,2761,13845,13678,11954,11252,1562,3859,3796,14941,23518,48042,7279,13560,17955,567,8159,9808,9172,3628,3484,2646,1444,9935,15085,2174,4409,7359,8607,6256,4963,4531,5908,14617,8349,5229,21886,7805,15827,13464,14363,10493,12769,8254,20427,31317,45742,3593,2896,8753,22692,7681,11129,2351,1788,4203,4352,5827,18320,286,14158,24020,5192,6013,4521,4310,3907,0,0,0,0,NA
