"","Anguilla_anguilla","Astatotilapia_calliptera","Cobitis_taenia","Cyprinus_carpio","Pimephales_promelas","Tinca_tinca","Cottus_gobio","Gasterosteus_aculeatus","Oncorhynchus_mykiss","Salmo_trutta","Bufo_bufo","Rana_temporaria","Lissotriton_helveticus","Lissotriton_vulgaris","Accipiter_gentilis","Buteo_buteo","Aix_galericulata","Anas_carolinensis","Gallinago_gallinago","Scolopax_rusticola","Columba_livia","Columba_oenas","Alcedo_atthis","Alectoris_rufa","Perdix_perdix","Phasianus_colchicus","Gallinula_chloropus","Aegithalos_caudatus","Troglodytes_troglodytes","Garrulus_glandarius","Pica_pica","Plectrophenax_nivalis","Muscicapa_striata","Parus_major","Sitta_europaea","Erithacus_rubecula","Turdus_philomelos","Ardea_cinerea","Dendrocopos_major","Phalacrocorax_carbo","Lampetra_fluviatilis","Bos_taurus","Ovis_aries","Capreolus_capreolus","Cervus_elaphus","Dama_dama","Canis_lupus","Vulpes_vulpes","Lutra_lutra","Meles_meles","Mustela_erminea","Pipistrellus_pipistrellus","Plecotus_austriacus","Neomys_fodiens","Sorex_araneus","Sorex_minutus","Talpa_europaea","Oryctolagus_cuniculus","Equus_caballus","Homo_sapiens","Castor_fiber","Microtus_agrestis","Myodes_glareolus","Rattus_norvegicus","Sciurus_carolinensis","Anas","Columba","Fringilla","Phylloscopus","Regulus","Turdus","Apodemus","Anatidae","Phasianidae","Corvidae","Fringillidae","Passeriformes"
"CROP_0101",0,0,0,0,0,0.0169891849334936,0,0.0128869183276012,0,0.0246964737082004,0,0.0137570960924875,0,0,0,0,0,0.00124311109269465,0,0,0,0,0,0,0,0.0664650064227406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117266813077529,0,0,0,0,0.011768118344176,0,0,0,0,0,0,0,0,0,0,0,0,0.812165913893838,0,0,0,0.0110636887249824,0,0,0,0,0,0,0.00236191107611984,0,0.0078315998839763,0.00704429619193635,0,0,0
"CROP_0102",0,0,0,0,0,0.00304621427712534,0,0.00276564190949537,0,0.0135075554130426,0,0.0197202292677061,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0715860355124454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00821676219487755,0.00164335243897551,0,0.00256523307547397,0,0.00889815223055032,0,0,0,0,0,0,0.00196400657340976,0,0,0,0,0,0.837107699707403,0,0,0,0.00384784961321095,0.00364744077918955,0,0.00112228947051986,0,0,0,0.00472964848290513,0,0.00821676219487755,0.00741512685879194,0,0,0
"CROP_0103",0,0,0,0,0,0.0344309126447151,0,0.674033979852654,0,0.104796271237408,0,0,0,0,0,0,0,0,0,0,0,0,0.0099233198015336,0,0,0.0887084648924974,0.00195459329424147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0175913396481732,0,0.0013531799729364,0,0,0,0,0,0,0,0,0,0,0.00466095324011427,0,0,0,0,0,0.015787099684258,0,0,0.0141332130506691,0,0,0,0,0,0,0,0,0.0326266726807999,0,0,0,0
"CROP_0104",0,0,0,0.00286853183325262,0,0,0.0100584882464702,0.0825168572812279,0,0.0369928845509071,0,0.034273367358343,0,0,0,0,0,0.0028312781730805,0,0,0,0,0,0,0,0.135007264463734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00189993666877771,0.00517825876392356,0,0,0.00115486346533547,0,0.00435867824013709,0,0,0,0,0,0,0,0,0.0012666244458518,0,0,0,0.634988637633648,0.0141563908654025,0,0,0.0102820102075029,0.00678016615132437,0,0,0.00122937078567969,0,0,0.00335282941549007,0,0.00555079536564467,0,0,0,0.00525276608426778
"CROP_0105",0,0,0,0,0,0.00712305694936664,0.0164567177795712,0.113232043229587,0,0.0336853924699112,0,0.0700024562265343,0.00122811326713218,0,0,0,0,0.00245622653426436,0,0,0,0,0,0,0,0.124916663742587,0,0,0.00414049615775992,0,0,0,0,0,0,0,0,0,0,0,0,0.00894768237482017,0.00168426962349556,0,0.00133338011860065,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00252640443524334,0.553458016070739,0.0187024106108986,0,0,0.0118249763149584,0.00266676023720131,0,0.00133338011860065,0,0,0,0,0,0.0201761465314572,0,0,0,0.00410540720727043
"CROP_0106",0,0,0,0,0,0.0222954873274263,0.0303729651761797,0.0978776014836184,0,0.0381619616731918,0,0.060828353595714,0,0,0,0,0,0.00638780135998352,0,0,0,0,0,0,0,0.185823202143004,0,0,0.00296723676076654,0,0,0,0,0,0,0.00333814135586235,0,0,0,0,0.00391510405934473,0.00663507109004739,0,0,0.00428600865444055,0,0,0,0,0,0,0,0,0.00288481351741191,0,0,0,0,0,0.45353389655883,0.0466927673603956,0.00177209973212446,0,0.0108798681228106,0.00440964351947249,0,0,0,0,0,0,0.0012775602719967,0.0133525654234494,0.00230785081392953,0,0,0
"CROP_0107",0,0,0,0,0,0.00913503803080686,0.00947903527882888,0.157512517677636,0,0.107212475633528,0,0.0310744180713221,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200550395596835,0.0016435424072163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0028666437335168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.410350494973818,0.0411267820968543,0,0,0.00282842181706991,0.0036693039789015,0,0,0,0,0,0.0101670297748729,0,0.0123839009287926,0,0,0,0
"CROP_0108",0,0,0,0,0,0.0122107969151671,0.0190793701799486,0.194127570694087,0,0.0357085475578406,0,0.0115279562982005,0,0,0,0,0,0.00329370179948586,0,0,0,0,0,0,0,0.248714652956298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00112467866323907,0,0,0,0,0,0,0,0,0,0,0.00136568123393316,0,0,0,0,0,0.387491966580977,0.06073264781491,0,0,0.0118091259640103,0,0,0,0.00176735218508997,0,0,0.00140584832904884,0,0.0096401028277635,0,0,0,0
"CROP_0109",0,0,0,0,0,0.0132267511642422,0.013826875990206,0.149143021748524,0,0.0319746507273513,0,0.01591531038456,0,0,0,0,0,0.00271256421335638,0,0,0,0,0,0,0,0.212012098516491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00573719333621393,0,0,0.0124345863939699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.445676700753757,0.0602765375198041,0.00117624465888905,0,0.0132987661433578,0.00151231456142878,0,0,0,0,0,0,0,0.0199961592011138,0,0,0,0.00108022468673484
"CROP_0110",0,0,0,0,0,0.010073875083949,0.0205238415043653,0.153740765614506,0,0.0437340496977837,0,0.00330423102753526,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211094694425789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00521155137676293,0.00687709872397582,0,0.00115513767629281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.410584284754869,0.087494963062458,0.00222968435191404,0,0.0087038280725319,0.00268636668905306,0,0.00475486903962391,0,0,0,0,0,0.0265950302216253,0.00123572867696441,0,0,0
"CROP_0201",0,0,0,0,0,0.0375263119692241,0.0106941520892308,0.0943601654932133,0,0.0406958457332269,0,0.0104522029469406,0.00614550821417338,0,0,0,0,0.00205656770946747,0,0,0.00464542353197358,0,0,0,0,0.225617575185696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00159686433911592,0.00863758437976337,0.00142749993951271,0,0,0,0,0,0.00902470300742784,0,0,0,0,0,0,0,0.00116135588299339,0,0,0.50211705499504,0.00343567782052213,0,0,0.00423410999008009,0.00411313541893494,0,0.00696813529796037,0,0,0,0,0.00118555079722242,0.0239045752582807,0,0,0,0
"CROP_0202",0,0,0,0,0,0.0173960875992712,0.00928249733557947,0.0404991920789356,0.00185649946711589,0.0349984529171107,0,0,0.00199401794616152,0,0,0,0,0.00158146250902465,0,0.00161584212878606,0.00491628562588098,0,0,0,0.00247533262282119,0.190394334238663,0.00151270326950184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001272045931172,0,0.00471000790731254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.656169422766184,0,0,0,0.00450373018874411,0.00405679513184584,0,0.00168460136830887,0,0,0,0.00471000790731254,0,0.0143706810602675,0,0,0,0
"CROP_0203",0,0,0,0.00409566668352126,0,0.0842392678363756,0,0.486246650149163,0,0.0125398189816453,0,0.0282398746018102,0.0365323355412853,0,0,0,0,0,0,0,0,0,0,0,0,0.30353440865652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00164332305203014,0,0,0,0,0,0.0194923395863882,0,0,0,0,0,0,0,0,0,0,0,0.0210345350659857,0,0,0,0,0,0,0,0,0,0,0,0.00240177984527481,0,0,0,0
"CROP_0204",0,0,0,0.00315377822631513,0,0.032736217989151,0.015642740002523,0.169988646398385,0,0.0179765358899962,0,0.0127412640343131,0.00662293427526176,0,0,0,0,0,0,0.00334300491989403,0,0,0,0,0,0.267440393591523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00151381354863126,0,0,0,0,0,0,0,0.00151381354863126,0,0,0,0,0,0,0,0,0,0,0.420714015390438,0.00668600983978807,0.00151381354863126,0,0.00668600983978807,0.00157688911315756,0,0,0,0,0,0.00548757411378832,0,0.0220133720196796,0,0,0,0.00264917371010471
"CROP_0205",0,0,0,0,0,0.0363629561736593,0.0122706271861731,0.0699949495894203,0,0.060399169488038,0,0,0.00602308224687155,0,0,0,0,0,0,0,0,0,0,0,0,0.27058977572436,0.00432090682927742,0,0.00430220160490825,0,0,0,0,0,0,0,0,0,0,0,0.00142159705205664,0.0126821421222948,0,0,0.00802454125437235,0,0.00574250388133406,0,0.00390939189315576,0,0,0,0,0,0,0,0,0,0,0.456912515665625,0.014851948149118,0.00220721647556162,0,0.00615401881745572,0,0,0,0,0,0,0,0,0.0238304558463179,0,0,0,0
"CROP_0206",0,0,0,0,0,0.043960631311915,0.0126519274922531,0.121622272530225,0,0.0512338840454057,0,0.00775492509994702,0.0100027294767433,0,0,0,0,0.00561951094199059,0,0.00438321853475266,0,0,0,0,0,0.172229982499237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00600484883515566,0.0146910071769183,0.00481672366456336,0.00276158823434966,0.00173402051924281,0,0,0,0,0,0,0,0,0.00187852222917971,0,0,0,0,0,0.475330346964661,0.00847743364963152,0.0160878570396416,0.00327537209190309,0.00836504343079171,0.00274553248880112,0,0,0,0,0,0.00215146990350497,0.00202302393911661,0.020198127900069,0,0,0,0
"CROP_0207",0,0,0,0,0,0.0364752047615285,0.0111137446999026,0.257564983803429,0,0.0534618524663559,0,0.0106133628295278,0.00481946748834637,0,0,0,0,0,0,0.00129045850780859,0,0,0,0,0,0.218587869690027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00866450712385768,0.00126412261989413,0.00118511495615075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330094019119855,0.023649627347186,0.0010797714044929,0.00150114561112428,0.00637328487529957,0.00223855047272919,0,0.00255458112770272,0,0,0,0,0,0.0242553527692186,0.00321297832556425,0,0,0
"CROP_0208",0,0,0,0,0,0.0250729998053339,0.0139380961650769,0.103017325287133,0,0.0469534747907339,0,0,0.0113685030173253,0,0,0,0,0,0,0,0.00140159626240997,0,0,0,0,0.275218999416002,0,0,0,0,0,0,0,0,0,0.00159626240996691,0,0,0,0,0,0.00638504963986763,0,0.00124586334436442,0.00307572513139965,0,0.00214132762312634,0,0.00233599377068328,0,0,0,0,0,0,0,0,0,0,0.459100642398287,0.00751411329569788,0.00132372980338719,0,0.00276425929530855,0.00319252481993381,0,0.00556745182012848,0,0,0,0.00124586334436442,0.00136266303289858,0.0209850107066381,0.00319252481993381,0,0,0
"CROP_0209",0,0,0,0,0,0.0393564641757373,0.0331977538821282,0.218683616842591,0,0.053287664465559,0,0.00805243137319479,0.00884285408467403,0,0,0,0,0,0,0,0,0,0,0,0,0.236319923592471,0.00141617402473364,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00130090404597625,0.0100120210120704,0,0,0.00113623264775141,0,0,0,0.00335929652378678,0,0,0,0,0,0,0,0,0,0,0.309071747328207,0.0353549491988737,0,0,0.00457786487065062,0.00805243137319479,0,0.00283234804946729,0,0,0,0.00416618637508851,0,0.0181303209445551,0.00284881518928977,0,0,0
"CROP_0210",0,0,0,0,0,0.0594319775596073,0.0150520937687838,0.146764175515929,0,0.0399969945902625,0.0037818072530555,0.0133991184131437,0.00718793828892006,0,0,0,0,0,0,0,0,0,0,0,0,0.206396513724704,0,0.00288018433179724,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0160789420957724,0.00255459827689842,0,0.00232919254658385,0,0,0,0.00691244239631336,0,0,0,0,0,0,0,0,0,0,0.428821879382889,0.0145511921458626,0.00215387697856141,0.00195351632939291,0.00618613504307754,0.00142756962532559,0,0.00230414746543779,0,0,0,0.00328090563013424,0,0.0165547986375476,0,0,0,0
"CROP_0211",0,0,0,0,0,0.0246969998013113,0.0260480826544804,0.250268229684085,0,0.0748261474269819,0,0.0170872243194914,0.00900059606596463,0,0,0,0,0,0,0,0.00458970792767733,0,0,0.00367574011523942,0,0.283290284124776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00399364196304391,0.0144247963441287,0.00343731372938605,0,0.0318497913769124,0,0.00248360818597258,0,0.00947744883767137,0,0,0,0,0,0,0,0,0,0,0.176058017087224,0.0197695211603417,0.00242400158950924,0,0.0055434134710908,0,0,0,0,0,0,0,0,0.0370554341347109,0,0,0,0
"CROP_0212",0,0,0,0,0,0.0447423865159931,0.0649109366021835,0.229400497988891,0,0.0467726489178318,0,0.0181191342654664,0.0135989274085424,0,0,0,0,0,0,0.00365830300708677,0.00164719402413331,0,0,0,0,0.348649683968588,0.00875311243056886,0,0,0.0017812679563302,0,0,0,0,0,0,0,0,0,0,0.00317946753495499,0.00702930473089446,0.0402604864968397,0.00450105343803869,0.00553533805784332,0,0.0026431718061674,0,0.00894464661942157,0,0,0,0,0,0,0,0,0,0,0,0.0623252250526719,0.00321777437272553,0.00283470599502011,0.0295345719210879,0.0042329055736449,0,0.00285385941390538,0,0,0,0.00340930856157824,0.00162804060524804,0.033001340739322,0.00283470599502011,0,0,0
"CROP_0213",0,0,0,0,0,0.034072249589491,0.0920224411603722,0.169574438970991,0,0.0934934318555008,0,0.0291461412151067,0.0351669403393541,0,0,0,0,0,0,0,0.00533661740558292,0,0,0,0,0.373186918445539,0.00246305418719212,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0051655719759168,0.00667077175697865,0.00437876299945265,0,0,0,0.00153940886699507,0,0.01772030651341,0,0,0,0,0.00236042692939245,0,0,0.00324986316365627,0,0,0,0.0453612479474548,0,0,0.0265120415982485,0.00277093596059113,0,0.00472085385878489,0,0,0,0.00571291735084839,0.00239463601532567,0.0328407224958949,0.0028735632183908,0,0,0.00126573617952928
"CROP_0214",0,0,0,0,0,0.0270433905146317,0.0544904137235116,0.0902983998846764,0,0.0511460285425977,0,0.0407380712123396,0.0109269136514343,0,0,0,0,0,0,0,0.00129739080294075,0,0,0.0819374369323915,0,0.484186247657489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0180193167075105,0.0113593772524146,0,0,0,0.00322906155398587,0,0.0067176012685599,0.0015568689635289,0,0,0,0,0,0,0,0.00115323626928067,0,0,0.0563644226610927,0.00178751621738504,0,0.0182787948680986,0.00469943779731873,0,0.00441112872999856,0,0,0,0.00418048147614242,0.0151362260343088,0.0110422372783624,0,0,0,0
"CROP_0301",0,0,0,0.00699402430563327,0,0.0189789843557664,0.168617533179651,0.0924330252232493,0,0.088840894339876,0.0917504084510194,0.398155815671091,0.00540498198339339,0,0,0,0,0,0,0,0,0,0,0,0,0.0248763456502764,0.00305498981670061,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00373760658893042,0,0,0,0.00286475235558739,0,0,0,0,0,0,0,0,0.00116380564445738,0,0,0,0,0,0.0722902352230255,0,0,0,0.00696045298896623,0,0,0.0013540431055706,0,0,0,0.00246189655558291,0,0.0100602045612229,0,0,0,0
"CROP_0302",0,0,0,0.0596000537441777,0,0.0214752776782515,0.169305356503046,0.0247895019706199,0,0.120230204227875,0.0958101934790398,0.349348351845217,0.0037396990326048,0,0,0,0,0.00135480114654246,0,0,0,0,0,0,0,0.0217216051594411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00500492654962379,0,0,0,0.00250806162665711,0,0.00513928699390899,0,0,0,0,0,0,0,0.00148916159082766,0,0,0,0,0.0847478502328914,0,0,0,0.0120028663561448,0.00307909351486922,0,0,0,0,0,0,0.00105249014690075,0.0108272124686492,0,0,0,0.00677400573271229
"CROP_0303",0,0,0,0,0,0.0173015383429078,0,0.294116513089409,0,0.0125303620310753,0.0180726375448201,0.411516366580561,0.12497590314994,0,0,0,0,0,0,0,0,0,0,0,0,0.00195666422485253,0,0,0,0,0,0,0,0,0,0,0,0.0167424914215214,0,0,0,0,0,0,0,0,0,0,0.00399043836989629,0,0,0,0,0,0,0,0,0,0,0,0.072251995219185,0,0,0,0,0,0,0,0,0,0,0,0.0265450900258318,0,0,0,0
"CROP_0304",0,0,0,0.00757444083611581,0,0.0369848602662032,0.151854731738554,0.109189040845264,0,0.0657183369162512,0.0765402735214746,0.4542377532818,0.0188537712116361,0,0,0,0,0,0,0,0,0,0,0,0,0.0147463751543704,0.00305539038558295,0,0,0,0,0,0,0,0,0,0,0.00251566573663267,0,0,0.00154599094360335,0,0,0,0.00144536431413804,0,0,0,0.00406165668023602,0,0,0,0,0,0,0,0,0,0,0,0.0148195581576179,0,0.00255225723825642,0.0141151717513607,0.00182957508118739,0,0.00172894845172209,0,0,0,0,0.00345789690344418,0.0131729405845492,0,0,0,0
"CROP_0305",0,0,0,0.00285723256617162,0,0.0233288329303903,0.13889499408668,0.153955644865878,0,0.0450877578573896,0.0521732759793609,0.428344165698557,0.0268244947512742,0,0,0,0,0,0,0,0,0,0,0,0,0.0119208347724157,0.00357939024773148,0,0,0,0,0,0,0,0,0,0,0.00132918877620438,0,0,0.00264791149905282,0,0,0,0,0,0,0,0.00166410248359446,0,0,0,0,0,0,0,0,0,0,0,0.0719227186620197,0,0,0.00676107046793725,0.0023548620050865,0,0.00132918877620438,0,0,0,0,0.00154897589667912,0.0234753576773734,0,0,0,0
