#OTU_ID	CROP_0101	CROP_0102	CROP_0103	CROP_0104	CROP_0105	CROP_0106	CROP_0107	CROP_0108	CROP_0109	CROP_0110	CROP_01EB	CROP_01FB	CROP_0201	CROP_0202	CROP_0203	CROP_0204	CROP_0205	CROP_0206	CROP_0207	CROP_0208	CROP_0209	CROP_0210	CROP_0211	CROP_0212	CROP_0213	CROP_0214	CROP_02EB	CROP_02FB	CROP_0301	CROP_0302	CROP_0303	CROP_0304	CROP_0305	CROP_0306	CROP_0307	CROP_0308	CROP_0309	CROP_0310	CROP_03EB	CROP_03FB	CROP_0401	CROP_0402	CROP_0403	CROP_0404	CROP_0405	CROP_0406	CROP_0407	CROP_0408	CROP_0409	CROP_0410	CROP_04EB	CROP_04FB	CROP_0501	CROP_0502	CROP_0503	CROP_0504	CROP_0505	CROP_0506	CROP_0507	CROP_0508	CROP_0509	CROP_0510	CROP_0511	CROP_0512	CROP_0514	CROP_05EB	CROP_05FB	CROP_0601	CROP_0602	CROP_0603	CROP_0604	CROP_0605	CROP_0606	CROP_0607	CROP_0608	CROP_0609	CROP_0610	CROP_06EB	CROP_06FB	CROP_0701	CROP_0702	CROP_0703	CROP_0704	CROP_0705	CROP_0706	CROP_0707	CROP_0708	CROP_0709	CROP_0710	CROP_07EB	CROP_07FB	CROP_0801	CROP_0802	CROP_0803	CROP_0804	CROP_0805	CROP_0806	CROP_0807	CROP_0808	CROP_0809	CROP_0810	CROP_0811	CROP_0812	CROP_0813	CROP_0814	CROP_08EB	CROP_08FB	CROP_0901	CROP_0902	CROP_0903	CROP_0904	CROP_0905	CROP_0906	CROP_0907	CROP_0908	CROP_0909	CROP_0910	CROP_09EB	CROP_09FB	CROP_1001	CROP_1002	CROP_1003	CROP_1004	CROP_1005	CROP_1006	CROP_1007	CROP_1008	CROP_1009	CROP_1010	CROP_10EB	CROP_10FB	CROP_1101	CROP_1102	CROP_1103	CROP_1104	CROP_1105	CROP_1106	CROP_1107	CROP_1108	CROP_1109	CROP_1110	CROP_1111	CROP_1112	CROP_1113	CROP_1114	CROP_11EB	CROP_11FB	CROP_1201	CROP_1202	CROP_1203	CROP_1204	CROP_1205	CROP_1206	CROP_1207	CROP_1208	CROP_1209	CROP_1210	CROP_12EB	CROP_12FB	CROP_1301	CROP_1302	CROP_1303	CROP_1304	CROP_1305	CROP_1306	CROP_1307	CROP_1308	CROP_1309	CROP_1310	CROP_13EB	CROP_13FB	D_01_B1	D_01_B1d	D_01_B2	D_01_P1	D_01_P1d	D_01_P2	D_02_B1	D_02_B1d	D_02_B2	D_02_B2d	D_02_P1	D_02_P1d	D_02_P2	D_02_P2d	D_03_B1	D_03_B1d	D_03_B2	D_03_B2d	D_03_P1	D_03_P1d	D_03_P2	D_03_P2d	D_04_B1	D_04_B2	D_04_B2d	D_04_B3	D_04_B3d	D_04_P1	D_04_P1d	D_05_B1	D_05_B1d	D_05_B2	D_05_P1	D_05_P1d	D_05_P2	D_06_B1	D_06_B2	D_06_P1	D_06_P2	D_07_B1	D_07_B2	D_07_P1	D_07_P2	D_08_B1	D_08_B2	D_08_P1	D_08_P2	D_09_B1	D_09_B2	D_09_B3	D_09_B4	D_10_B1	D_10_B2	D_10_P1	D_10_P2	D_BK1	D_BK2	D_BK3	D_BK4	D_BK5	D_EB1	D_EB2	D_EB3	NEG01	NEG02	NEG03	NEG04	NEG05	NEG06	NEG07	NEG08	NEG09	NEG10	NEG11	POS01	POS02	POS03	POS04	POS05	POS06	POS07	POS08	POS09	POS10	POS11	taxonomy
Anguilla_anguilla	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Actinopteri; o__Anguilliformes; f__Anguillidae; g__Anguilla; s__Anguilla_anguilla
Astatotilapia_calliptera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	54	0	0	0	0	0	0	0	0	549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9472	0	0	1823	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	730	0	0	0	0	0	0	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7578	8875	7913	12162	5630	32545	11486	26866	27475	33885	450570	d__Eukaryota; p__Chordata; c__Actinopteri; o__Cichliformes; f__Cichlidae; g__Astatotilapia; s__Astatotilapia_calliptera
Cobitis_taenia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	16	0	47	4	83	29	68	1476	d__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Cobitidae; g__Cobitis; s__Cobitis_taenia
Cyprinus_carpio	7	0	0	77	0	0	0	0	0	0	0	0	0	0	162	50	0	0	0	0	0	0	0	0	0	0	0	0	625	5323	0	828	273	431	494	683	415	482	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	491	874	0	0	0	255	0	0	0	0	692	0	557	0	636	122	280	0	0	0	0	0	0	0	0	224	0	0	0	0	0	0	0	0	0	0	208	0	260	0	0	0	310	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Cyprinidae; g__Cyprinus; s__Cyprinus_carpio
Abramis_brama	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Leuciscidae; g__Abramis; s__Abramis_brama
Phoxinus_phoxinus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Leuciscidae; g__Phoxinus; s__Phoxinus_phoxinus
Pimephales_promelas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	0	11	0	43	10	66	52	67	1556	d__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Leuciscidae; g__Pimephales; s__Pimephales_promelas
Rutilus_rutilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Leuciscidae; g__Rutilus; s__Rutilus_rutilus
Tinca_tinca	410	76	229	0	203	541	239	304	551	375	0	0	1551	506	3332	519	1944	2738	1385	644	2390	2373	1243	2336	996	938	0	0	1696	1918	1795	4043	2229	1208	1068	1292	874	743	0	0	965	416	351	550	555	773	887	461	927	215	0	0	0	175	227	0	324	122	196	822	207	684	628	215	27	0	0	0	0	365	441	624	0	0	489	271	857	0	0	273	1187	171	475	2054	0	165	575	300	241	0	0	167	146	1711	0	573	816	1278	454	463	653	523	642	0	0	0	0	2793	1218	6693	3375	3715	2896	3370	2773	2594	2865	0	0	1148	958	4742	2635	4563	3596	3641	4130	2211	2850	0	0	1052	313	8801	2358	2184	1170	5431	6223	3265	3431	2861	1564	2541	758	0	0	1067	1205	7612	1314	2367	4888	1197	1356	3375	1479	134	0	0	62	2290	0	1430	521	1684	179	3537	321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Tincidae; g__Tinca; s__Tinca_tinca
Cottus_gobio	153	66	123	270	469	737	248	475	576	764	0	0	442	270	0	248	656	788	422	358	2016	601	1311	3389	2690	1890	0	0	15068	15121	196	16600	13271	9725	6600	8052	13475	17456	0	0	10922	16766	362	8592	15210	10425	15505	7747	14718	2273	0	0	7389	3736	639	9426	7317	6228	12360	19102	11991	9031	7719	12329	11913	0	0	4759	8821	776	5820	6384	7664	8734	8130	4385	5866	0	0	9020	8637	427	3644	6886	1071	3105	1924	2780	6189	0	0	5106	10525	773	3800	10446	16114	11584	1741	3823	7111	6181	25865	41705	9639	0	0	4416	15432	533	2166	4927	8131	4009	5599	724	1959	0	0	2097	6017	441	824	1330	3543	3503	2277	1870	1808	0	0	1474	2474	105	1328	944	2815	4146	2440	1663	1937	2375	2468	5239	7203	0	0	652	981	104	326	3704	1290	510	227	1333	650	0	0	2389	11151	5	5515	20077	11214	4962	2611	3057	2771	0	280	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	555	0	0	0	0	0	0	0	221	0	332	1173	0	0	0	0	0	0	0	0	0	0	0	319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	d__Eukaryota; p__Chordata; c__Actinopteri; o__Perciformes; f__Cottidae; g__Cottus; s__Cottus_gobio
