sample,blank
CROP_0101,CROP_01EB
CROP_0102,CROP_01EB
CROP_0103,CROP_01EB
CROP_0104,CROP_01EB
CROP_0105,CROP_01EB
CROP_0106,CROP_01EB
CROP_0107,CROP_01EB
CROP_0108,CROP_01EB
CROP_0109,CROP_01EB
CROP_0110,CROP_01EB
CROP_0201,CROP_02EB
CROP_0202,CROP_02EB
CROP_0203,CROP_02EB
CROP_0204,CROP_02EB
CROP_0205,CROP_02EB
CROP_0206,CROP_02EB
CROP_0207,CROP_02EB
CROP_0208,CROP_02EB
CROP_0209,CROP_02EB
CROP_0210,CROP_02EB
CROP_0211,CROP_02EB
CROP_0212,CROP_02EB
CROP_0213,CROP_02EB
CROP_0214,CROP_02EB
CROP_0301,CROP_03EB
CROP_0302,CROP_03EB
CROP_0303,CROP_03EB
CROP_0304,CROP_03EB
CROP_0305,CROP_03EB
CROP_0306,CROP_03EB
CROP_0307,CROP_03EB
CROP_0308,CROP_03EB
CROP_0309,CROP_03EB
CROP_0310,CROP_03EB
CROP_0401,CROP_04EB
CROP_0402,CROP_04EB
CROP_0403,CROP_04EB
CROP_0404,CROP_04EB
CROP_0405,CROP_04EB
CROP_0406,CROP_04EB
CROP_0407,CROP_04EB
CROP_0408,CROP_04EB
CROP_0409,CROP_04EB
CROP_0410,CROP_04EB
CROP_0501,CROP_05EB
CROP_0502,CROP_05EB
CROP_0503,CROP_05EB
CROP_0504,CROP_05EB
CROP_0505,CROP_05EB
CROP_0506,CROP_05EB
CROP_0507,CROP_05EB
CROP_0508,CROP_05EB
CROP_0509,CROP_05EB
CROP_0510,CROP_05EB
CROP_0511,CROP_05EB
CROP_0512,CROP_05EB
CROP_0514,CROP_05EB
CROP_0601,CROP_06EB
CROP_0602,CROP_06EB
CROP_0603,CROP_06EB
CROP_0604,CROP_06EB
CROP_0605,CROP_06EB
CROP_0606,CROP_06EB
CROP_0607,CROP_06EB
CROP_0608,CROP_06EB
CROP_0609,CROP_06EB
CROP_0610,CROP_06EB
CROP_0701,CROP_07EB
CROP_0702,CROP_07EB
CROP_0703,CROP_07EB
CROP_0704,CROP_07EB
CROP_0705,CROP_07EB
CROP_0706,CROP_07EB
CROP_0707,CROP_07EB
CROP_0708,CROP_07EB
CROP_0709,CROP_07EB
CROP_0710,CROP_07EB
CROP_0801,CROP_08EB
CROP_0802,CROP_08EB
CROP_0803,CROP_08EB
CROP_0804,CROP_08EB
CROP_0805,CROP_08EB
CROP_0806,CROP_08EB
CROP_0807,CROP_08EB
CROP_0808,CROP_08EB
CROP_0809,CROP_08EB
CROP_0810,CROP_08EB
CROP_0811,CROP_08EB
CROP_0812,CROP_08EB
CROP_0813,CROP_08EB
CROP_0814,CROP_08EB
CROP_0901,CROP_09EB
CROP_0902,CROP_09EB
CROP_0903,CROP_09EB
CROP_0904,CROP_09EB
CROP_0905,CROP_09EB
CROP_0906,CROP_09EB
CROP_0907,CROP_09EB
CROP_0908,CROP_09EB
CROP_0909,CROP_09EB
