sample,temp,flow,flow_categorical,pH,cond,vol,camera,sampling_date,total_rain_2days
CROP_0101,2.6,0,0,7.62,174.1,700,me,15/01/2024 14:40,0.113152127
CROP_0102,2.7,0.31474,3,7.65,170.8,750,fe,15/01/2024 14:25,0.113152127
CROP_0103,3.2,0,0,7.52,158,500,me,15/01/2024 14:15,0.113152127
CROP_0104,2.9,0.114904,2,7.57,162.5,600,fe,15/01/2024 14:00,0.113152127
CROP_0105,2.8,0.336944,3,7.53,161.3,600,fe,15/01/2024 13:45,0.113152127
CROP_0106,2.9,0.065372,1,7.65,161.8,600,fe,15/01/2024 13:30,0.113152127
CROP_0107,2.5,0,0,7.58,159.8,500,fe,15/01/2024 13:15,0.113152127
CROP_0108,2.9,0.056832,1,7.71,161.3,550,me,15/01/2024 13:10,0.113152127
CROP_0109,3.3,0.055978,1,7.71,162,550,me,15/01/2024 12:55,0.113152127
CROP_0110,3.3,0.052562,1,7.45,151.1,650,me,15/01/2024 12:40,0.113152127
CROP_0201,7.7,0.059394,1,7.27,,400,me,14/02/2024 17:00,1.796286725
CROP_0202,7.6,1.69395,5,7.28,,500,fe,14/02/2024 16:45,1.796286725
CROP_0203,7.7,0,0,7.69,,200,me,14/02/2024 16:30,1.796286725
CROP_0204,7.7,0,0,7.14,,400,fe,14/02/2024 16:20,1.796286725
CROP_0205,7.5,0.868986,5,7.25,,500,fe,14/02/2024 16:00,1.796286725
CROP_0206,7.3,0.215676,2,7.3,,1550,fe,14/02/2024 15:50,1.796286725
CROP_0207,7.1,0.050854,1,7.19,,500,fe,14/02/2024 15:30,1.796286725
CROP_0208,7.2,0.0927,1,7.2,,500,me,14/02/2024 15:20,1.796286725
CROP_0209,7,0,0,7.39,143.3,400,me,14/02/2024 15:00,1.796286725
CROP_0210,6.9,0.06281,1,7.34,135.3,500,me,14/02/2024 14:40,1.796286725
CROP_0211,6.8,0.244712,2,7.34,132.5,500,fe,14/02/2024 13:00,1.796286725
CROP_0212,7,0.806644,5,7.42,141.3,500,fe,14/02/2024 12:45,1.796286725
CROP_0213,7,0.377936,3,7.49,140.5,600,fe,14/02/2024 12:00,1.796286725
CROP_0214,7.1,0.188348,2,7.77,155.6,600,fe,14/02/2024 11:20,1.796286725
CROP_0301,7.8,0,0,7.76,144,1050,me,25/03/2024 12:50,0.048777088
CROP_0302,7.5,0.605954,4,7.74,148.1,1050,fe,25/03/2024 12:40,0.048777088
CROP_0303,8.4,0,0,7.64,138.3,400,me,25/03/2024 12:25,0.048777088
CROP_0304,7.7,0.111488,2,7.68,147,1100,fe,25/03/2024 12:20,0.048777088
CROP_0305,6.9,0.914248,5,7.62,141.6,800,fe,25/03/2024 12:00,0.048777088
CROP_0306,7.2,0.525678,4,7.5,143.5,800,fe,25/03/2024 11:55,0.048777088
CROP_0307,7.2,0,0,7.74,139.8,700,fe,25/03/2024 11:40,0.048777088
CROP_0308,7.8,0,0,7.78,134.9,700,me,25/03/2024 11:35,0.048777088
CROP_0309,7.8,0,0,7.79,143,700,me,25/03/2024 11:25,0.048777088
CROP_0310,7,0,0,8.28,135.9,650,me,25/03/2024 11:15,0.048777088
CROP_0401,7.8,0,0,7.92,137.3,800,me,22/04/2024 11:45,2.491457725
CROP_0402,8.1,0.5624,4,7.91,135.9,700,fe,22/04/2024 11:55,2.491457725
CROP_0403,8.6,0,0,7.88,131.5,600,me,22/04/2024 11:30,2.491457725
CROP_0404,8,0.3916,3,7.8,136.9,750,fe,22/04/2024 11:20,2.491457725
CROP_0405,7.7,0.74174,4,7.85,137.6,700,fe,22/04/2024 11:05,2.491457725
CROP_0406,7.4,0.585458,4,7.9,137.4,700,fe,22/04/2024 10:55,2.491457725
CROP_0407,7.7,0.055124,1,7.82,135.2,700,fe,22/04/2024 10:45,2.491457725
CROP_0408,7.8,0.07135,1,7.84,123.4,650,me,22/04/2024 10:40,2.491457725
CROP_0409,8.1,0.061102,1,8.09,131.7,700,me,22/04/2024 10:35,2.491457725
CROP_0410,8.5,0.053416,1,8.01,137.5,550,me,22/04/2024 10:25,2.491457725
CROP_0501,13.3,0,0,7.65,135.6,350,me,22/05/2024 13:25,4.964279902
CROP_0502,14.7,0.6478,4,7.83,123,200,fe,22/05/2024 13:30,4.964279902
CROP_0503,14.6,0,0,7.6,161.3,500,me,22/05/2024 13:10,4.964279902
CROP_0504,13.1,0.477,3,7.77,142,400,fe,22/05/2024 13:00,4.964279902
CROP_0505,13.6,0.5624,4,7.75,147.6,400,fe,22/05/2024 12:50,4.964279902
CROP_0506,13.3,0.6051,4,7.8,149.2,400,fe,22/05/2024 12:35,4.964279902
CROP_0507,13.4,0.051708,1,7.68,151.2,500,fe,22/05/2024 12:30,4.964279902
CROP_0508,14.4,0.061956,1,7.75,148.6,400,me,22/05/2024 12:20,4.964279902
CROP_0509,13.8,0.052562,1,7.78,153,400,me,22/05/2024 12:10,4.964279902
CROP_0510,13.5,0.065372,1,7.8,150,500,me,22/05/2024 11:55,4.964279902
CROP_0511,13.6,0.053416,1,7.94,150,900,fe,22/05/2024 10:10,4.964279902
CROP_0512,13.3,0.070496,1,7.99,151.5,400,fe,22/05/2024 10:00,4.964279902
CROP_0514,13.3,0.065372,1,8.21,153,500,fe,22/05/2024 09:35,4.964279902
CROP_0601,11.9,0,0,7.97,141.6,200,me,10/06/2024 12:00,5.60851777
CROP_0602,11.6,0.477,3,8.04,143.4,450,fe,10/06/2024 12:10,5.60851777
CROP_0603,14.4,0,0,7.7,156.1,400,me,10/06/2024 11:45,5.60851777
CROP_0604,11.5,0.2208,2,7.95,149,300,fe,10/06/2024 11:35,5.60851777
CROP_0605,11.9,0.477,3,8.13,148.8,400,fe,10/06/2024 11:25,5.60851777
CROP_0606,11.8,0.3062,3,7.95,149.3,400,fe,10/06/2024 11:10,5.60851777
CROP_0607,11.7,0,0,8.04,149.1,400,fe,10/06/2024 11:05,5.60851777
CROP_0608,12,0.06708,1,8.33,148.9,350,me,10/06/2024 11:00,5.60851777
CROP_0609,12.5,0,0,8.35,138.6,500,me,10/06/2024 10:50,5.60851777
CROP_0610,12.7,0.05854,1,8.42,141.3,350,me,10/06/2024 10:40,5.60851777
CROP_0701,16.5,0,0,7.56,127.4,400,me,17/07/2024 13:35,1.15914426
CROP_0702,15.4,0.364272,3,7.69,129.4,450,fe,17/07/2024 13:45,1.15914426
CROP_0703,21.5,0,0,7.46,129.2,300,me,17/07/2024 13:20,1.15914426
CROP_0704,16,0.053416,1,7.51,133.3,450,fe,17/07/2024 13:10,1.15914426
CROP_0705,15.8,0.336944,3,7.52,130.6,400,fe,17/07/2024 12:50,1.15914426
CROP_0706,15.6,0.077328,1,7.38,130.9,400,fe,17/07/2024 12:30,1.15914426
CROP_0707,15.6,0,0,7.46,132.2,400,fe,17/07/2024 12:15,1.15914426
CROP_0708,14,0,0,7.3,127.8,450,me,17/07/2024 12:10,1.15914426
CROP_0709,15.2,0,0,7.22,125,400,me,17/07/2024 11:55,1.15914426
CROP_0710,16.7,0,0,6.97,120.3,400,me,17/07/2024 11:40,1.15914426
CROP_0801,15.2,0,0,7.83,199.6,300,me,16/08/2024 14:10,1.24406142
CROP_0802,15.2,0.25923,3,8.04,199.9,500,fe,16/08/2024 14:20,1.24406142
CROP_0803,20.2,0,0,7.72,194.5,300,me,16/08/2024 13:50,1.24406142
CROP_0804,15.4,0,0,7.4,208,250,fe,16/08/2024 13:35,1.24406142
CROP_0805,15.4,0.381352,3,7.71,195.8,400,fe,16/08/2024 13:15,1.24406142
CROP_0806,14.8,0.197742,2,7.62,196.7,400,fe,16/08/2024 13:05,1.24406142
CROP_0807,15.8,0,0,7.43,188.4,400,fe,16/08/2024 12:50,1.24406142
CROP_0808,15.8,0.05427,1,7.21,168.4,300,me,16/08/2024 12:40,1.24406142
CROP_0809,16.8,0,0,7.57,186,400,me,16/08/2024 12:30,1.24406142
CROP_0810,17.4,0,0,7.69,183.6,300,me,16/08/2024 12:20,1.24406142
CROP_0811,15.2,0,0,7.77,179.2,400,fe,16/08/2024 11:40,1.24406142
CROP_0812,13.6,0.08416,1,7.8,183.3,450,fe,16/08/2024 11:20,1.24406142
CROP_0813,14.8,0.082452,1,7.87,171.3,500,fe,16/08/2024 10:45,1.24406142
CROP_0814,14.5,0,0,7.76,174.3,700,fe,16/08/2024 10:15,1.24406142
CROP_0901,13.2,0,0,8.22,,400,me,29/09/2023 10:05,1.005848818
CROP_0902,13.1,0.060248,1,7.87,,1100,fe,29/09/2023 10:25,1.005848818
CROP_0903,15.2,0,0,7.45,,300,me,29/09/2023 11:05,1.005848818
CROP_0904,13.6,0.052562,1,7.32,,400,fe,29/09/2023 11:20,1.005848818
CROP_0905,13.2,0.051708,1,7.37,,400,fe,29/09/2023 11:45,1.005848818
CROP_0906,13.2,0.055978,1,7.36,,400,fe,29/09/2023 12:00,1.005848818
CROP_0907,13.4,0.05427,1,7.24,,350,fe,29/09/2023 12:30,1.005848818
CROP_0908,13.8,0.057686,1,7.32,,350,me,29/09/2023 13:00,1.005848818
CROP_0909,13.8,0.052562,1,7.2,,350,me,29/09/2023 13:10,1.005848818
CROP_0910,14.2,0.06281,1,7.24,,300,me,29/09/2023 13:30,1.005848818
CROP_1001,11.1,0.052562,1,,157.5,400,me,26/10/2023 14:00,2.514313943
CROP_1002,11.1,0.094408,1,,155.5,400,fe,26/10/2023 13:45,2.514313943
CROP_1003,10.7,0,0,,156.5,350,me,26/10/2023 13:20,2.514313943
CROP_1004,10.4,0.051708,1,,160.6,300,fe,26/10/2023 13:10,2.514313943
CROP_1005,10.3,0.307054,3,,156.4,400,fe,26/10/2023 12:50,2.514313943
CROP_1006,10.4,0.066226,1,,157.2,450,fe,26/10/2023 12:30,2.514313943
CROP_1007,11.3,0,0,,153.2,300,fe,26/10/2023 12:20,2.514313943
CROP_1008,10.5,0.053416,1,,152.5,400,me,26/10/2023 12:05,2.514313943
CROP_1009,10.2,0.053416,1,,153.6,375,me,26/10/2023 11:50,2.514313943
CROP_1010,10.3,0.051708,1,,151,400,me,26/10/2023 11:40,2.514313943
CROP_1101,7.2,0,0,7.71,155.7,550,me,24/11/2023 14:55,0.51882378
CROP_1102,7.4,0.218238,2,7.66,155.9,600,fe,24/11/2023 14:50,0.51882378
CROP_1103,7.2,0.05650748,1,7.62,151.2,450,me,24/11/2023 14:20,0.51882378
CROP_1104,7.5,0.068788,1,7.61,152.4,500,fe,24/11/2023 14:10,0.51882378
CROP_1105,7.3,0.84849,5,7.66,151.2,550,fe,24/11/2023 13:40,0.51882378
CROP_1106,7.5,0.517138,4,7.66,152.8,700,fe,24/11/2023 13:30,0.51882378
