video,camera,date,common_name,species,count,notes,month,sample_month,sample,individual,behaviour,water_interaction
1st Sept am 2 beavers(127).MP4,CROP07,01/09/2023 00:00,Beaver,Castor_fiber,2,,Sep_23,CROP07_Sep_23,CROP_0907,adult,EA,Y
1st Sept am 2 beavers(127).MP4,CROP07,01/09/2023 00:00,Beaver,Castor_fiber,2,,Sep_23,CROP07_Sep_23,CROP_0907,adult,EA,Y
1st Sept am 2 beavers(126).MP4,CROP07,01/09/2023 00:05,Beaver,Castor_fiber,2,,Sep_23,CROP07_Sep_23,CROP_0907,adult,EA,Y
1st Sept am 2 beavers(126).MP4,CROP07,01/09/2023 00:05,Beaver,Castor_fiber,2,,Sep_23,CROP07_Sep_23,CROP_0907,adult,EA,Y
1st Sept am 2 beavers(125).MP4,CROP07,01/09/2023 00:06,Beaver,Castor_fiber,2,,Sep_23,CROP07_Sep_23,CROP_0907,adult,EA,Y
1st Sept am 2 beavers(125).MP4,CROP07,01/09/2023 00:06,Beaver,Castor_fiber,2,,Sep_23,CROP07_Sep_23,CROP_0907,adult,SG,Y
1st Sept am 2 beavers(124).MP4,CROP07,01/09/2023 00:07,Beaver,Castor_fiber,2,,Sep_23,CROP07_Sep_23,CROP_0907,adult,SG,Y
1st Sept am 2 beavers(124).MP4,CROP07,01/09/2023 00:07,Beaver,Castor_fiber,2,,Sep_23,CROP07_Sep_23,CROP_0907,adult,EX,Y
1st Sept am (123).MP4,CROP07,01/09/2023 00:07,Beaver,Castor_fiber,2,,Sep_23,CROP07_Sep_23,CROP_0907,adult,AL,N
1st Sept am (123).MP4,CROP07,01/09/2023 00:07,Beaver,Castor_fiber,2,,Sep_23,CROP07_Sep_23,CROP_0907,adult,EA,Y
1st Sept am (122).MP4,CROP07,01/09/2023 00:08,Beaver,Castor_fiber,1,,Sep_23,CROP07_Sep_23,CROP_0907,adult,EA,Y
1st Sept am (121).MP4,CROP07,01/09/2023 00:09,Beaver,Castor_fiber,1,,Sep_23,CROP07_Sep_23,CROP_0907,adult,EA,Y
1st Sept am (120).MP4,CROP07,01/09/2023 00:10,Beaver,Castor_fiber,1,,Sep_23,CROP07_Sep_23,CROP_0907,adult,EA,Y
1st Sept am (119).MP4,CROP07,01/09/2023 00:11,Beaver,Castor_fiber,1,,Sep_23,CROP07_Sep_23,CROP_0907,adult,EA,Y
1st Sept am (118).MP4,CROP07,01/09/2023 00:12,Beaver,Castor_fiber,1,,Sep_23,CROP07_Sep_23,CROP_0907,adult,EA,Y
1st Sept am (117).MP4,CROP07,01/09/2023 00:13,Beaver,Castor_fiber,1,,Sep_23,CROP07_Sep_23,CROP_0907,adult,EA,Y
1st Sept am (116).MP4,CROP07,01/09/2023 00:14,Beaver,Castor_fiber,1,,Sep_23,CROP07_Sep_23,CROP_0907,adult,EA,Y
1st Sept am (115).MP4,CROP07,01/09/2023 00:17,Beaver,Castor_fiber,1,,Sep_23,CROP07_Sep_23,CROP_0907,adult,EA,Y
1st Sept am (114).MP4,CROP07,01/09/2023 00:17,Beaver,Castor_fiber,1,,Sep_23,CROP07_Sep_23,CROP_0907,adult,EA,Y
1st Sept am (113).MP4,CROP07,01/09/2023 00:18,Beaver,Castor_fiber,1,,Sep_23,CROP07_Sep_23,CROP_0907,adult,EA,Y
1st Sept am (112).MP4,CROP07,01/09/2023 00:18,Beaver,Castor_fiber,1,,Sep_23,CROP07_Sep_23,CROP_0907,adult,EA,Y
1st Sept am (111).MP4,CROP07,01/09/2023 00:19,Beaver,Castor_fiber,1,,Sep_23,CROP07_Sep_23,CROP_0907,adult,EA,Y
1st Sept am (110).MP4,CROP07,01/09/2023 00:19,Beaver,Castor_fiber,1,,Sep_23,CROP07_Sep_23,CROP_0907,adult,EA,Y
1st Sept am (109).MP4,CROP07,01/09/2023 00:21,Beaver,Castor_fiber,1,,Sep_23,CROP07_Sep_23,CROP_0907,adult,SG,N
1st Sept am (108).MP4,CROP07,01/09/2023 00:21,Beaver,Castor_fiber,1,,Sep_23,CROP07_Sep_23,CROP_0907,adult,EA,Y
1st Sept am 2 beavers (107).MP4,CROP07,01/09/2023 00:22,Beaver,Castor_fiber,2,,Sep_23,CROP07_Sep_23,CROP_0907,adult,SG,N
1st Sept am 2 beavers (107).MP4,CROP07,01/09/2023 00:22,Beaver,Castor_fiber,2,,Sep_23,CROP07_Sep_23,CROP_0907,adult,EA,Y
1st Sept am 2 beavers (106).MP4,CROP07,01/09/2023 00:23,Beaver,Castor_fiber,2,,Sep_23,CROP07_Sep_23,CROP_0907,adult,SG,N
1st Sept am 2 beavers (106).MP4,CROP07,01/09/2023 00:23,Beaver,Castor_fiber,2,,Sep_23,CROP07_Sep_23,CROP_0907,adult,EA,Y
