"","Cobitis_taenia","Cyprinus_carpio","Tinca_tinca","Cottus_gobio","Gasterosteus_aculeatus","Oncorhynchus_mykiss","Salmo_trutta","Bufo_bufo","Rana_temporaria","Lissotriton_helveticus","Lissotriton_vulgaris","Gallinula_chloropus","Phalacrocorax_carbo","Lampetra_fluviatilis","Lutra_lutra","Castor_fiber","Anas"
"CROP_0101",0,0,0.016775091035555,0.00625997299619492,0.0127245202733112,0,0.0243852542858312,0,0.0135837322531811,0,0,0,0,0,0,0,0
"CROP_0102",0,0,0.00302271009823808,0.00262498508531202,0.00274430258918983,0,0.0134033329356083,0,0.0195680706359623,0,0,0,0,0,0,0,0
"CROP_0103",0,0,0.0189585230565444,0.0101829621657422,0.371139995032701,0,0.0577034522725391,0,0.0069542180644093,0,0,0.00107624803377763,0,0,0,0.00869277258051163,0
"CROP_0104",0,0.00284458236358935,0,0.00997450958661199,0.0818279212383169,0,0.036684029701873,0,0.0339872178506779,0,0,0,0,0.00188407403302671,0,0.0140381986774539,0
"CROP_0105",0,0,0.00711506782096667,0.0164382601380954,0.113105043636746,0,0.0336476113700887,0,0.0699239423784655,0.00122673583120115,0,0,0,0,0,0.0186814342294346,0
"CROP_0106",0,0,0.0222277003985373,0.0302806195817412,0.0975800156128025,0,0.0380459345084022,0.00197214347343769,0.060643411808209,0,0,0,0,0.0039032006245121,0,0.0465508032376022,0
"CROP_0107",0,0,0.00910060162973117,0.00944330210951184,0.156918741908461,0,0.106808316198309,0,0.0309572766735207,0,0,0.00163734673672988,0,0,0,0.0409717462493336,0
"CROP_0108",0,0,0.0120797901931177,0.0188746721767464,0.192044822379401,0,0.0353254390844791,0,0.0114042756099499,0,0,0,0,0,0,0.0600810617499801,0
"CROP_0109",0,0,0.0131843415007657,0.0137825421133231,0.148664816232772,0,0.0318721286370597,0,0.015864280245023,0,0,0,0,0,0,0.060083269525268,0
"CROP_0110",0,0,0.0100283467936033,0.0204310852008344,0.153045943199444,0,0.0435363962132963,0,0.00328929774830187,0,0,0,0,0.00518799807455742,0,0.0870995346847088,0
"CROP_0201",0,0,0.0371621621621622,0.0105903776116542,0.0934445083381254,0,0.0403009392371095,0.00189285029710562,0.0103507763082231,0.0060858731071497,0,0,0,0.0015813686026452,0.00893712861797968,0.00340233850872149,0
"CROP_0202",0,0,0.0173370794216405,0.00925101075858288,0.040361817309669,0.00185020215171658,0.0348797368601384,0,0,0.00198725416295484,0,0.00150757212362091,0,0,0,0,0
"CROP_0203",0,0.0039941813161074,0.0821519268226534,0,0.474198081806751,0,0.012229098350551,0,0.0275401267289627,0.0356271111220691,0,0,0,0,0.0190093444118445,0.0205133262654405,0
"CROP_0204",0,0.00313165476637855,0.0325065764750094,0.0155330076412376,0.168796191907804,0,0.0178504321683578,0.00125266190655142,0.0126518852561694,0.00657647500939496,0,0,0,0.00150319428786171,0.00150319428786171,0.00663910810472254,0
"CROP_0205",0,0,0.0362011173184358,0.0122160148975791,0.069683426443203,0,0.0601303538175047,0,0,0.00599627560521415,0,0.00430167597765363,0,0.00141527001862197,0.00389199255121043,0.0147858472998138,0
"CROP_0206",0,0,0.043960631311915,0.0126519274922531,0.121622272530225,0,0.0512338840454057,0,0.00775492509994702,0.0100027294767433,0,0,0,0.00600484883515566,0,0.00847743364963152,0
"CROP_0207",0,0,0.0364349038486833,0.0111014652881909,0.257280404072291,0,0.053402783258359,0,0.0106016362823245,0.00481414253018704,0,0,0,0,0,0.0236234972246337,0
"CROP_0208",0,0,0.024822695035461,0.0137989515880358,0.101988899167438,0,0.0464847363552266,0.00269811902559359,0.00370027752081406,0.0112550107924761,0,0,0,0,0.00231267345050879,0.0074390995991366,0
